title_s,abstract_s,keyword_s,authFullName_s,publicationDateY_i,language_s
Commonsense Reasoning for Identifying and Understanding the Implicit Need of Help and Synthesizing Assistive Actions,"Human-Robot Interaction (HRI) is an emerging subfield of service robotics. While most existing approaches rely on explicit signals (i.e. voice\, gesture) to engage\, current literature is lacking solutions to address implicit user needs. In this paper\, we present an architecture to (a) detect user implicit need of help and (b) generate a set of assistive actions without prior learning. Task (a) will be performed using state-of-the-art solutions for Scene Graph Generation coupled to the use of commonsense knowledge; whereas\, task (b) will be performed using additional commonsense knowledge as well as a sentiment analysis on graph structure. Finally\, we propose an evaluation of our solution using established benchmarks (e.g. ActionGenome dataset) along with human experiments. The main motivation of our approach is the embedding of the perception-decision-action loop in a single architecture.","Commonsense Reasoning,Knowledge Graph,Vision-to-Language,Cognitive Robotics,Sentiment Analysis,Scene Graph Generation","Maëlic Neau,Paulo Santos,Anne-Gwenn Bosser,Nathan Beu,Cédric Buche",2022,en
Indifferent or Enthusiastic? Virtual Audiences Animation and Perception in Virtual Reality,"In this paper\, we present a virtual audience simulation system for Virtual Reality (VR). The system implements an audience perception model controlling the nonverbal behaviors of virtual spectators\, such as facial expressions or postures. Groups of virtual spectators are animated by a set of nonverbal behavior rules representing a particular audience attitude (e.g.\, indifferent or enthusiastic). Each rule specifies a nonverbal behavior category: posture \, head movement \, facial expression and gaze direction as well as three parameters: type \, frequency and proportion . In a first user-study\, we asked participants to pretend to be a speaker in VR and then create sets of nonverbal behaviour parameters to simulate different attitudes. Participants manipulated the nonverbal behaviours of single virtual spectator to match a specific levels of engagement and opinion toward them. In a second user-study\, we used these parameters to design different types of virtual audiences with our nonverbal behavior rules and evaluated their perceptions. Our results demonstrate our system’s ability to create virtual audiences with three types of different perceived attitudes: indifferent \, critical \, enthusiastic . The analysis of the results also lead to a set of recommendations and guidelines regarding attitudes and expressions for future design of audiences for VR therapy and training applications.",,"Yann Glémarec,Jean-Luc Lugrin,Anne-Gwenn Bosser,Aryana Collins Jackson,Cédric Buche,Marc Erich Latoschik",2021,en
Improving Neural Architecture Search by Mixing a FireFly algorithm with a Training Free Evaluation,"Neural Architecture Search (NAS) algorithms are used to automate the design of deep neural networks. Finding the best architecture for a given dataset can be time consuming since these algorithms have to explore a large number of networks\, and score them according to their performances to choose the most appropriate one. In this work\, we propose a novel metric that uses the Intra-Cluster Distance (ICD) score to evaluate the ability of an untrained model to distinguish between data in order to approximate its quality. We also use an improved version of the FireFly algorithm\, more robust to the local optimums problem than the baseline FireFly algorithm\, as a search technique to find the best neural network model adapted to a specific dataset. Experimental results on the different NAS Benchmarks show that our metric is valid for either scoring CNNs and RNNs\, and that our proposed FireFly algorithm can improve the result obtained by the state-of-art training-free methods",,"Nassim Mokhtari,Alexis Nédélec,Marlene Gilles,Pierre de Loor",2022,en
When Non-Experts Search for Scientific Texts CLEF 2023 action report SimpleText,"Users tend to stay away from credible sources such as scientific literature due to their intricate language or their lack of prior knowledge. Rather, they depend on shallow sources from the web or social media that can be published for economic or political motives rather than for their enlightening value. Text simplification might remove some of these barriers. This paper presents the report on the CLEF 2023 SimpleText track aiming to encourage the research on automatic simplification of scientific texts by providing reusable data and benchmarks.","Scientific texts,Simplification,Information retrieval","Liana Ermakova,Stéphane Huet,Eric SanJuan,Olivier Augereau,Hosein Azarbonyad,Jaap Kamps",2023,fr
Pushing Out the Classroom Walls: A Scalability Benchmark for a Virtual Audience Behaviour Model in Virtual Reality,"In this paper\, we describe the implementation and performance of a Virtual Audience behaviour model for Virtual Reality (VR). The model is a VR adaptation of an existing desktop model based on crowd-sourced data. The system allows a user in VR to easily build and experience a wide variety of atmospheres with small or large groups of virtual agents. The paper describes the model's implementation and possible benefits for different applications\, e.g. training\, therapeutic or culture. Our first scalability benchmark results demonstrated the ability to simultaneously handle one hundred virtual agents without significantly affecting the recommended frame rate for VR applications. Lastly\, we propose a set of improvements our training system can benefit from. This research is conducted in the context of a classroom simulation software for teachers' training. CCS CONCEPTS • Human-centered computing → Virtual reality; • Software and its engineering → Virtual worlds training simulations.","Virtual Reality,Behaviour Model,Education,Virtual Agent","Yann Glémarec,Jean-Luc Lugrin,Anne-Gwenn Bosser,Paul Cagniat,Cédric Buche,Marc Erich Latoschik",2020,en
Conference Talk Training With a Virtual Audience System,"This paper presents the first prototype of a virtual audience system (VAS) specifically designed as a training tool for conference talks. This system has been tailored for university seminars dedicated to the preparation and delivery of scientific talks. We describe the required features which have been identified during the development process. We also summarize the preliminary feedback received from lecturers and students during the first deployment of the system in seminars for bachelor and doctoral students. Finally\, we discuss future work and research directions. We believe our system architecture and features are providing interesting insights on the development and integration of VR-based educational tools into university curriculum.","Virtual Reality,Virtual Agent,Education,Training Simulation","Yann Glémarec,Jean-Luc Lugrin,Anne-Gwenn Bosser,Cédric Buche,Marc Erich Latoschik",2021,en
Poetic or Humorous Text Generation: Jam Event at PFIA2022,"In this paper\, we describe the organization and the results of a Jam event on computational creativity at a major French national conference in AI PFIA2022. During this Jam event\, participants were challenged by the task of humor or poetry generation using a number of resources and corpus.","Computational creativity,Computational Humour,Humour generation,Wordplay,Artificial Intelligence,Scientific mediation,Large pre-trained models,Few-shot learning","Anne-Gwenn Bosser,Liana Ermakova,Florence Dupin de Saint-Cyr,Pierre de Loor,Victor Charpenay,Nicolas Pépin-Hermann,Benoît Alcaraz,Jean-Victor Autran,Alexandre Devillers,Juliette Grosset,Aymeric Hénard,Florian Marchal",2022,en
ICIDS2020 Panel: Building the Discipline of Interactive Digital Narratives,,,"Mark Bernstein,Mirjam Palosaari Eladhari,Hartmut Koenitz,Sandy Louchart,Frank Nack,Chris Martens,Giulia Carla Rossi,Anne-Gwenn Bosser,David Millard",2020,en
Limits of XAI application-grounded evaluation: an e-sport prediction example,"EXplainable AI (XAI) was created to address the issue of Machine Learning's lack of transparency. Its methods are expanding\, as are the ways of evaluating them\, including human performance-based evaluations of explanations. These evaluations allow us to quantify the contribution of XAI algorithms to human decision-making. This work performs accuracy and response time measurements to evaluate SHAP explanations on an e-sports prediction task. The results of this pilot experiment contradict our intuitions about the beneficial potential of these explanations and allow us to discuss the difficulties of this evaluation methodology.",XAI,"Corentin Boidot,Olivier Augereau,Pierre de Loor,Riwal Lefort",2022,en
Speech Perception and Implementation in a Virtual Medical Assistant,"In emergency medical procedures\, positive and trusting interactions between followers and leaders are imperative. That interaction is even more important when a virtual agent assumes the leader role and a human assumes the follower role. In order to manage the human-computer interaction\, situational leadership is employed to match the human follower to an appropriate leadership style embodied by the agent. Situational leadership was used to create 33 utterances indicative of the four different leadership styles. A participant evaluation was then carried out in order to examine (1) whether perceptions of leader trust and motivation vary dependent on both readiness level and utterance syntax and (2) whether follower ability and willingness are affected by the leader’s speech. We found that general perceptions of leadership behavior influenced follower performance and that the leader’s speech influences followers’ ability. Finally\, we demonstrate how the results of this study are implemented in a virtual agent system.","Situational leadership,Medicine,Speech,Virtual agent,Embodied conversational agent","Aryana Collins Jackson,Yann Glémarec,Elisabetta Bevacqua,Pierre de Loor,Ronan Querrec",2022,en
