title_s,abstract_s,keyword_s,authFullName_s,publicationDateY_i,language_s
Acoustic-based fluency classification using LSTM-Attention with computationally-cheap data augmentation for an adaptive voicebot,"Most voicebots still ignore\, nowadays\, user fluency level\, although recognizing it would allow to give answers to adaptation issues\, according to the language level of the interlocutor. Towards to such an end\, this paper proposes a fluency classification model using a small audio dataset. We extract various features such as Mel-frequency cepstral coefficients (MFCC) from the audio. Using recent classification models\, such as CNN-LSTM-Attention and Wav2vec 2.0\, we propose fluency classification models through three usual categories (Low\, Intermediate and High). Furthermore\, we demonstrate that simple data augmentation methods can improve classification accuracy. We employ several simple data augmentation techniques\, such as speed and pitch scale variation. This augmentation multiplies by 6 the number of training samples when applied only to original samples\, and by 32 when also applied to augmented samples.","Language fluency level,CNN-LSTM,Voice conversational agent,Data augmentation","Papa Séga Wade,Mihai Andries,Ioannis Kanellos,Thierry Moudenc",2023,en
"Computer Vision and Robot Navigation in 3D Environments","This dissertation presents contributions to research problems in the domains of computer vision and navigation in 3D environments for ground robots. Specifically\, Chapter 2 is dedicated to 3D vision and presents machine-learning based methodologies for the semantic understanding of geometric and color data\, for applications pertaining to digital libraries of 3D objects and semantic mapping of static or dynamic environments populated by humans and explored by robots. We contribute more robust and effective 3D perception methods inspired from the fields of novelty detection\, incremental learning and intelligent\, multi-modal data fusion. In the sequel\, Chapter 3 addresses the problem of safe and effective navigation of ground robots operating in 3D outdoor or indoor environments\, focusing on the negotiation of negative and positive obstacles by leveraging the power of robot learning via physics-based simulation. We establish a general framework for modeling robot traversability in 3D terrains that is instantiated to the motion control of articulated\, tracked robot manipulators. Diverse motion control behaviors are developed for the purpose of staircase ascent/descent\, gap traversal up to socially-compliant navigation\, leveraging on advances in the fields of reinforcement learning\, end-to-end learning and potential fields. Finally\, Chapter 4 describes the deployment of terrestrial robots from a system engineering perspective in the context of in-field experiments and Chapter 5 unfolds future research directions.","Object recognition,Obstacle negotiation,Unmanned ground vehicles,Robot learning",Panagiotis Papadakis,2023,en
Commonsense Reasoning for Identifying and Understanding the Implicit Need of Help and Synthesizing Assistive Actions,"Human-Robot Interaction (HRI) is an emerging subfield of service robotics. While most existing approaches rely on explicit signals (i.e. voice\, gesture) to engage\, current literature is lacking solutions to address implicit user needs. In this paper\, we present an architecture to (a) detect user implicit need of help and (b) generate a set of assistive actions without prior learning. Task (a) will be performed using state-of-the-art solutions for Scene Graph Generation coupled to the use of commonsense knowledge; whereas\, task (b) will be performed using additional commonsense knowledge as well as a sentiment analysis on graph structure. Finally\, we propose an evaluation of our solution using established benchmarks (e.g. ActionGenome dataset) along with human experiments. The main motivation of our approach is the embedding of the perception-decision-action loop in a single architecture.","Commonsense Reasoning,Knowledge Graph,Vision-to-Language,Cognitive Robotics,Sentiment Analysis,Scene Graph Generation","Maëlic Neau,Paulo Santos,Anne-Gwenn Bosser,Nathan Beu,Cédric Buche",2022,en
Human Model For Industrial System And Product Design In Industry 5.0: A Case Study,"Human performance models can be included in industrial system models to improve the design of the industrial system\, manufacturing processes\, and product design. In our use case\, a critical process in the production of a new airplane was being considered for automation. This process requires the highest quality assurance and is normally performed manually. Robot assistance could improve quality and efficiency. A human performance model focused on worker fatigue was developed\, taking into account characteristics of the workers\, robots\, and tasks. Two different automation scenarios (fully manual\, semi-automated)\, with different worker characteristics such as skill\, age\, motivation\, etc. were studied. Using historical production line data in the fully manual scenario\, and simulated data for the semi-automated scenario\, global fatigue scores and graphical visualization were generated by the model for each scenario\, allowing the system architects to understand the effects of the future production system on workers\, including errors\, time lost\, costs and overall resilience of the system.","Industry 50,Production and manufacturing,Simulation model,Worker fatigue","Arnaud Allemang--Trivalle,Jérémie Donjat,Gaëlic Béchu,Gilles Coppin,Oliver W. Klaproth,Andreas Mitschke,Arnd Schirrmann,Mathieu Chollet,Caroline Gl Cao",2023,en
An Open-Source Software Framework for Reinforcement Learning-based Control of Tracked Robots in Simulated Indoor Environments,"A simulation framework based on the open-source robotic software Gazebo and the Robot Operating System (ROS) is presented for articulated tracked robots\, designed for reinforcement learning-based (RL) control skill acquisition. In particular\, it is destined to serve as a research tool in the development and evaluation of methods in the domain of mobility learning for articulated tracked robots\, in 3D indoor environments. Its architecture allows to interchange between different RL libraries and algorithm implementations\, while learning can be customized to endow specific properties within a control skill. To demonstrate its utility\, we focus on the most demanding case of staircase ascent and descent using depth image data\, while respecting safety via reward function shaping and incremental\, domain randomization-based\, end-to-end learning.","Reinforcement learning,Robot control,Incremental learning,Domain randomizaion,Staircase negotiation,Tracked robots","A Mitriakov,Panagiotis Papadakis,Serge Garlatti",2022,en
Convolutional Neural Network Bootstrapped by Dynamic Segmentation and Stigmergy-Based Encoding for Real-Time Human Activity Recognition in Smart Homes,"Recently\, deep learning (DL) approaches have been extensively employed to recognize human activities in smart buildings\, which greatly broaden the scope of applications in this field. Convolutional neural networks (CNN)\, well known for feature extraction and activity classification\, have been applied for estimating human activities. However\, most CNN-based techniques usually focus on divided sequences associated to activities\, since many real-world employments require information about human activities in real time. In this work\, an online human activity recognition (HAR) framework on streaming sensor is proposed. The methodology incorporates real-time dynamic segmentation\, stigmergy-based encoding\, and classification with a CNN2D. Dynamic segmentation decides if two succeeding events belong to the same activity segment or not. Then\, because a CNN2D requires a multi-dimensional format in input\, stigmergic track encoding is adopted to build encoded features in a multi-dimensional format. It adopts the directed weighted network (DWN) that takes into account the human spatio-temporal tracks with a requirement of overlapping activities. It represents a matrix that describes an activity segment. Once the DWN for each activity segment is determined\, a CNN2D with a DWN in input is adopted to classify activities. The proposed approach is applied to a real case study: the “Aruba” dataset from the CASAS database.","Real-time human activity recognition convolutional neural network directed weighted network overlapping activities,Real-time human activity recognition,Convolutional neural network,Directed weighted network,Overlapping activities","Houda Najeh,Christophe Lohr,Benoit Leduc",2023,en
From sparse SLAM to dense mapping for UAV autonomous navigation,"Autonomous or semi-autonomous navigation of UAVs is of great interest in the Defense and Security domains\, as it significantly improves their efficiency and responsiveness during operations. The perception of the environment and in particular the dense and metric 3D mapping in real time is a priority for navigation and obstacle avoidance. We therefore present our strategy to jointly estimate a dense 3D map by combining a sparse map estimated by a state-of-the-art Simultaneous Localization and Mapping (SLAM) system and a dense depth map predicted by a monocular self-supervised method. Then\, a lightweight and volumetric multi-view fusion solution is used to build and update a voxel map.","Usar,Monocular depth prediction,Deep Learning,Drones,3D mapping","Yassine Habib,Panagiotis Papadakis,Antoine Fagette,Cédric Le Barz,Tiago Gonçalves,Cédric Buche",2023,en
AGOD-Grasp: an Automatically Generated Object Dataset for benchmarking and training robotic grasping algorithms,"Robust robotic grasping of objects has broad industrial applications. The reliability of data-driven grasping methods is influenced by the variability of object shapes encountered during training. Most existing objects datasets suffer from human selection bias\, lack variability\, or are non-reproducible. This paper presents a physically reproducible 3D-printable object dataset for training and evaluating grasping algorithms. It contains exact 3D meshes of 50 objects for simulation and printing purposes. The various objects in the dataset were found using the MAP-Elites algorithm\, optimising the variability of objects according to two grasping metrics. We used a Variational AutoEncoder (VAE) as a generative model for voxelgrid object models\, which were then converted to meshes and simplified using Volumetric Hierarchical Approximate Convex Decomposition (V-HACD). The dataset is publicly available online\, and can be ordered from any 3d-printing service according to given specifications. We hope it will become a standard benchmarking dataset for the robotic grasping community.","Grasping object set,Data-driven grasping,Robotic grasping,Dataset,Data Sets for Robot Learning,Performance Evaluation and Benchmarking,Grasping","Mihai Andries,Yoann Fleytoux,Serena Ivaldi,J.-B. Mouret",2023,en
"Metric\, dense and real-time 3D Reconstruction for drone autonomous navigation","Simultaneous Localization And Mapping (SLAM) research have reach maturity allowing state of the art algorithm to build a 3D dense and metric reconstruction in real-time. However\, it becomes more challenging in drone navigation context where we favor passive sensors in monocular configuration and need to tackle fast motions or illumination changes. Research on Deep learning monocular depth estimation and event cameras present interesting advances to resolve these challenges.","SLAM,3D reconstruction,VIO,Semantic mapping,Deep Learning,Depth estimation,Event camera","Yassine Habib,Panagiotis Papadakis,Cédric Le Barz,Cédric Buche,Antoine Fagette",2021,en
Goal Space Abstraction in Hierarchical Reinforcement Learning via Reachability Analysis,"Open-ended learning benefits immensely from the use of symbolic methods for goal representation as they offer ways to structure knowledge for efficient and transferable learning. However\, the existing Hierarchical Reinforcement Learning (HRL) approaches relying on symbolic reasoning are often limited as they require a manual goal representation. The challenge in autonomously discovering a symbolic goal representation is that it must preserve critical information\, such as the environment dynamics. In this work\, we propose a developmental mechanism for subgoal discovery via an emergent representation that abstracts (i.e.\, groups together) sets of environment states that have similar roles in the task. We create a HRL algorithm that gradually learns this representation along with the policies and evaluate it on navigation tasks to show the learned representation is interpretable and results in data efficiency.",,"Mehdi Zadem,Sergio Mover,Sao Mai Nguyen",2023,en
