title_s,abstract_s,keyword_s,authFullName_s,publicationDateY_i
Virtual reality beyond design reviews in shipbuilding : the need for industry-tailored immersive data interaction,"In the context of shipbuilding\, the potential of virtual reality (VR) as a visualization tool has been demonstrated [1\, 2]. However\, many conditions must be met for VR to be widely adopted in the shipbuilding industry. It primarily must be seamlessly integrated into current workflows. The shipbuilding industry will likely first need to tame its data with efficient models accessible throughout the ship's lifecycle. However\, some productivity issues with VR have not yet been identified clearly. While working to develop a VR design tool for ship outfitting\, it became clear to us that there is a need for industrydriven development of efficient data interaction and manipulation tools in VR. As an example of such new manipulation tools\, we are currently developing a new way to input text in VR that is efficient and easy-to-learn through handwriting. The evaluation of this system highlights the need for more controlled and systematic testing of VR tools in the shipbuilding industry to justify investments and adoption.","Shipbuilding,Industry,Virtual reality","Nicolas Fourrier,Mustapha Benaouicha,Guillaume Moreau,Jean-Marie Normand",2022
Human-centered Evaluation of 3D Radial Layouts for Centrality Visualization,"In this paper we propose improvements to the 3D radial layouts that make it possible to visualize centrality measures of the nodes in a graph. Our improvements mainly relate edge drawing and the evaluation of the 3D radial layouts. First\, we projected not only the nodes but also the edges onto the visualization surfaces in order to reduce the node overlap that could be observed in previous 3D radial layouts. Secondly\, we proposed a human-centered evaluation in order to compare the efficiency score and the time to complete tasks of the 3D radial layouts to those of the 2D radial layouts. The evaluation tasks proposed are related to the central nodes\, the peripheral nodes and the dense areas of a graph. The results showed that 3D layouts can perform significantly better than 2D layouts in terms of efficiency when tasks are related to the central and peripheral nodes\, while the difference in time is not statistically significant between these various layouts. Additionally\, we found that the participants preferred interacting with 3D layouts over 2D layouts.","3D Graph Visualization,Centrality Visualization,Graph Layout Evaluation","Piriziwè Kobina,Thierry Duval,Laurent Brisson,Anthony David",2022
Interpretable Machine Learning for Meteorological Data,,,"Ngoan Thanh Trieu,Bernard Pottier,Vincent Rodin,Hiep Xuan Huynh",2021
"Nouvelles visualisations 3D collaboratives de graphes pour l'exploration de relations intra et inter communautés,New 3D collaborative graph visualizations for intra and inter communities'relationships exploration","L’objectif de cette thèse était d’étudier les contributions de la visualisation 3Dimmersive par rapport à la visualisation classique 2D afin d’améliorer l’exploration et l’analyse des relations intracommunautés et intercommunautés représentées sous forme de graphes. Après une analyse de l’état de l’art sur la théorie des graphes et ses applications à l’analyse des réseaux sociaux et sur des méthodes de visualisation de graphes\, nous avons proposé deux approches de visualisation de graphes : une visualisation exocentrique\, qui permet à un utilisateur de manipuler un graphe comme un objet\, pour permettre de visualiser intuitivement la centralité des nœuds et une visualisation égocentrique\, spécialement adaptée à l’exploration d’un graphe en environnement immersif\, où notre mécanisme de rétractation de l’espace d’affichage du graphe permet à un utilisateur d’avoir une vision d’ensemble du graphe tout en restant en mode égocentrique. Les applications de ces travaux sont tout aussi civiles que militaires.,The aim of this thesis was to study the contributions of immersive 3D visualization compared to classical 2D visualization in order to improve the exploration and analysis of intra-community and inter-community relationships represented as graphs. After an analysis of the state of the art on graph theory and its applications to social network analysis and on graph visualization methods\, we proposed two graph visualization approaches: an exocentric visualization\, which allows a user to manipulate a graph as an object\, to intuitively visualize the centrality of the nodes and an egocentric visualization\, especially adapted to the exploration of a graph in an immersive environment\, where our mechanism of retraction of the graph display space allows a user to have an overall view of the graph while remaining in egocentric mode. The applications of this work are both civilian and military.","3D visualization,Virtual reality,Community graphs,Graph analysis,Visualisation 3D,Réalité virtuelle,Graphes de communautés,Analyse de graphes",Piriziwè Kobina,2022
A Two-Level Highlighting technique based on gaze direction to improve targets pointing and selection on a touch screen,"In this paper\, we present an approach to improve pointing methods and target selection on tactile human-machine interfaces. The proposed approach defines a two-level highlighting technique (TLH) based on the direction of gaze for target selection on HMIs on a touch screen. The technique is based on the orientation of the user's head to approximate the direction of his gaze and uses this data to preselect the potential targets to be selected by the user. An experimental system with a multimodal interface has been prototyped to assess the impact of TLH on target selection on a touch screen\, to compare its performance with that of traditional methods (mouse and touch). We conducted an experiment to assess the effectiveness of our proposition in objective terms of the rate of selection errors made\, the time for completion of the task. We also made a subjective estimate of ease of use\, suitability for selection\, confidence brought by the TLH\, and contribution of TLH to improving the selection of targets. Statistical results have shown that the proposed TLH significantly reduces the selection error rate and the time to complete tasks. For the completion time\, the TLH added to the touch (TLHT) using the direction of the gaze gave performances equal to those obtained using the TLH added to the mouse cursor (TLHM). Finally\, participants found that TLH has significantly improved target selection methods and expressed the wish to be able to use it in the future.",,"Valéry M. Monthé,Thierry Duval",2020
Improving Reward Estimation in Goal-Conditioned Imitation Learning with Counterfactual Data and Structural Causal Models,"Imitation learning has emerged as a pragmatic alternative to reinforcement learning for teaching agents to execute specific tasks\, mitigating the complexity associated with reward engineering. However\, the deployment of imitation learning in real-world scenarios is hampered by numerous challenges. Often\, the scarcity and expense of demonstration data hinder the effectiveness of imitation learning algorithms. In this paper\, we present a novel approach to enhance the sample efficiency of goal-conditioned imitation learning. Leveraging the principles of causality\, we harness structural causal models as a formalism to generate counterfactual data. These counterfactual instances are used as additional training data\, effectively improving the learning process. By incorporating causal insights\, our method demonstrates its ability to improve imitation learning efficiency by capitalizing on generated counterfactual data. Through experiments on simulated robotic manipulation tasks\, such as pushing\, moving\, and sliding objects\, we showcase how our approach allows for the learning of better reward functions resulting in improved performance with a limited number of demonstrations\, paving the way for a more practical and effective implementation of imitation learning in real-world scenarios.","Imitation Learning,Causality,Structural Causal Models,Counterfactual Reasoning","Mohamed Khalil Jabri,Panagiotis Papadakis,Ehsan Abbasnejad,Gilles Coppin,Javen Shi",2023
SABLIER : a Tangible Interactor to Navigate through Space and Time,"Historians use spatio-temporal navigation for their models and studies of historical evolutions and events. Their findings can then be exhibited in cultural mediation centers or museums. The latter\, both to facilitate the transmission of knowledge and to make their exhibitions more attractive\, are now exploiting new technologies. Indeed\, digital systems allow\, among other things\, visitors to navigate spatially and temporally in virtual reconstructions of historical environments. We propose to combine these virtual representations with a tangible interface to provide visitors with an immersive experience and engaging interactions. To do so\, we have set up a co-design process involving cultural mediation actors (museum directors\, historians\, etc.). The result is SABLIER\, a tangible interactor to navigate through space and time based on the interaction metaphors and natural affordance of an hourglass. Finally\, we have conducted an evaluation of the acceptability of our interactor\, whose results are positive.","Tangible User Interface,Cultural Mediation,Virtual Reality","Pierre Mahieux,Romain Biannic,Sébastien Kubicki,Ronan Querrec",2022
A Systematic Review of Navigation Assistance Systems for People with Dementia,"Technological developments provide solutions to alleviate the tremendous impact on the health and autonomy due to the impact of dementia on navigation abilities. We systematically reviewed the literature on devices tested to provide assistance to people with dementia during indoor\, outdoor and virtual navigation (PROSPERO ID number: 215585). Medline and Scopus databases were searched from inception. Our aim was to summarize the results from the literature to guide future developments. Twenty-three articles were included in our study. Three types of information were extracted from these studies. First\, the types of navigation advice the devices provided were assessed through: (i) the sensorial modality of presentation\, e.g.\, visual and tactile stimuli\, (ii) the navigation content\, e.g.\, landmarks\, and (iii) the timing of presentation\, e.g.\, systematically at intersections. Second\, we analyzed the technology that the devices were based on\, e.g.\, smartphone. Third\, the experimental methodology used to assess the devices and the navigation outcome was evaluated. We report and discuss the results from the literature based on these three main characteristics. Finally\, based on these considerations\, recommendations are drawn\, challenges are identified and potential solutions are suggested. Augmented reality-based devices\, intelligent tutoring systems and social support should particularly further be explored.","Information Interfaces and Representation HCI,Health care,Navigation,Dementia,Alzheimer,Augmented reality","Léa Pillette,Guillaume Moreau,Jean-Marie Normand,Manon Perrier,Anatole Lécuyer,Melanie Cogne",2022
An Hybrid Model for Rectal Tumour Response Prediction during Radiotherapy,,,"Sena Apeke,Laurent Gaubert,Nicolas Boussion,Dimitris Visvikis,Olivier Saut,Thierry Colin,Philippe Lambin,Vincent Rodin,Pascal Redou",2022
"Conserver et restituer le patrimoine industriel grâce à la réalité virtuelle et augmentée,Preserving and Reviving Industrial Heritage with Virtual and Augmented Realities",,,"Anne Wartelle,Marie-Morgane Abiven,Florent Laroche,Ronan Querrec",2023
